date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2023-10-23,TJS_RUB,2023-10-21,8.75056,0.0,1.0,-0.014365686351809459,False,401.78000036569114,-74.05532925634999
2023-10-23,UZS_RUB,2023-10-21,0.00784116,0.0,1.0,-0.014570635030350276,False,395.59197873783995,-62.93845055995818
2023-11-01,KZT_RUB,2023-11-01,0.195017,0.0,1.0,-0.0016484163428707177,True,0.0,130.8280272582309
2023-11-06,UZS_RUB,2023-11-04,0.0076009,0.009285656429384392,0.95,-0.004395857729295849,False,423.7392940309697,-65.98874331930153
2023-11-08,AMD_RUB,2023-11-08,0.229511,0.005110710156605913,0.95,-0.009870620667043473,False,376.71397013650704,-32.81245836775089
2023-11-08,KGS_RUB,2023-11-08,1.03465,0.004251312762673987,0.95,-0.008889484927150249,False,370.2024839317652,-33.950562693967754
2023-11-08,TJS_RUB,2023-11-08,8.43719,0.004549361946331487,0.95,-0.00857678685997254,False,376.4523496566983,-36.609231125140205
2023-11-15,KZT_RUB,2023-11-15,0.195877,0.004409871959880407,0.8,-0.019801435191208805,False,301.8220618040914,-37.787352254746075
2023-11-28,KZT_RUB,2023-11-28,0.191549,0.008338378122285661,0.9,0.0017100542824570741,True,0.0,141.85335741914358
2023-11-28,TJS_RUB,2023-11-28,8.09821,0.009302592237619978,0.8,0.0022165018625546207,True,12.187878555877631,81.73326807564777
2023-11-29,AMD_RUB,2023-11-29,0.220264,0.009098489082729255,0.8,0.009098489082729255,True,12.12181745541666,97.34715045873524
2023-12-01,KGS_RUB,2023-12-01,0.993468,0.006355387087036535,0.8,0.0013264096630354327,True,0.0,145.03028008458375
2024-01-01,AMD_RUB,2023-12-30,0.221567,0.0,0.95,-0.022482716632180932,True,49.78178158299715,77.20654879070872
2024-01-01,KGS_RUB,2023-12-30,1.00677,0.0,0.9,-0.02295180605966496,True,58.70258350963835,81.87477423803855
2024-01-01,TJS_RUB,2023-12-30,8.18712,0.0,0.95,-0.024310252159726042,True,30.99991205698729,83.89407772142408
2024-01-01,UZS_RUB,2023-12-30,0.00726882,0.0,0.9,-0.022023515609128075,True,79.66905219829293,73.00940046838045
2024-01-11,AMD_RUB,2024-01-11,0.220464,0.0,1.0,-0.025896387937700216,False,198.67189200957955,-32.080597381678984
2024-01-11,KGS_RUB,2024-01-11,1.00086,0.0,1.0,-0.028611914513655634,False,195.4818855784031,-28.968835705321727
2024-01-11,TJS_RUB,2024-01-11,8.16174,0.0,1.0,-0.024678965519713714,False,193.85572194164482,-41.35257757760355
2024-01-11,UZS_RUB,2024-01-11,0.00721091,0.0,1.0,-0.029106958445366926,False,205.0226670420235,-27.0565916547768
2024-01-12,KZT_RUB,2024-01-12,0.195839,0.0,1.0,-0.025729935177676744,True,84.86562942008612,32.128942345563374
2024-01-22,UZS_RUB,2024-01-20,0.00713273,0.009862566844162757,0.8,0.004851872774992216,True,73.88475380394344,7.315690595254906
2024-01-23,AMD_RUB,2024-01-23,0.217135,0.004863849243812668,0.9,0.004208579026476977,True,5.204135675962051,92.10331615830088
2024-01-23,KGS_RUB,2024-01-23,0.985052,0.0038286142291563685,0.9,0.0035085288628453615,True,4.091154578641962,81.04773130509307
2024-01-23,KZT_RUB,2024-01-23,0.195477,0.006694922673643244,0.85,0.006244080220730641,True,0.0,88.11041775121517
2024-01-23,TJS_RUB,2024-01-23,8.0302,0.003333533245372111,0.9,0.0030189744480098035,True,3.785708948719055,83.72379327781165
2024-03-01,KGS_RUB,2024-03-01,1.0159,0.0,0.8,-0.017162648504314704,True,56.20631951963878,91.69428920554148
2024-03-01,KZT_RUB,2024-03-01,0.201286,0.0,0.85,-0.013719706398283016,True,37.95594328467886,119.09662443854694
2024-03-01,TJS_RUB,2024-03-01,8.29247,0.0,0.8,-0.017009326739339636,True,58.342086254155724,89.23293854218205
2024-03-01,UZS_RUB,2024-03-01,0.00727615,0.0,0.85,-0.01801174420785967,True,88.06855273736826,81.05150267388045
2024-03-05,UZS_RUB,2024-03-05,0.00729983,0.003254468365825325,0.8,-0.015731140025618595,False,120.22197777208522,15.567740218953787
2024-03-06,KZT_RUB,2024-03-06,0.201082,0.0,0.9,-0.016987930014616848,True,27.8493350971248,106.74547429364841
2024-03-06,TJS_RUB,2024-03-06,8.31786,0.003061813910692379,0.8,-0.009565156301536426,True,88.68867713570518,27.64113701807874
2024-03-07,AMD_RUB,2024-03-07,0.22365,0.0,1.0,-0.015707313208842666,True,0.0,115.93647800595417
2024-03-07,KGS_RUB,2024-03-07,1.01019,0.0,1.0,-0.01662659281396317,True,0.0,109.73287781080704
2024-03-13,KZT_RUB,2024-03-13,0.20245,0.009614905097695026,0.8,-0.000464096690101945,True,0.0,47.02755775554326
2024-04-05,UZS_RUB,2024-04-05,0.00728653,0.0,0.8,-0.004893231144057375,True,0.0,59.173777243095046
2024-04-25,UZS_RUB,2024-04-25,0.00728105,0.0,1.0,-0.021838865819138853,True,60.650592977660764,51.99826910994361
