date,corridor,target_source_quote_date,signal_id,signal_name,rate,ret_1,ret_5,abs_ret1_q80_prev60,abs_ret5_q80_prev60,rate_lag_5,range_5,range_6,event_gap_days,good,future_regret_bps,centered_benefit_bps,signal_magnitude_bps
2025-08-06,KGS_RUB,2025-08-06,M01,Заметное изменение за пять обновлений,0.915369,0.004712010853101134,-0.027888873549058557,0.006219223426935261,0.011670155676401906,0.94163,0.026865384117809313,0.03308585657417252,9.0,True,82.99385275227766,8.292139459304995,278.8887354905856
2025-08-06,KZT_RUB,2025-08-06,M01,Заметное изменение за пять обновлений,0.147741,0.007343315333006251,-0.02706600549222593,0.008268410643295,0.016473481232662818,0.151851,0.029112101159490398,0.03485965187392207,7.0,False,64.3017171942796,20.77824498451128,270.6600549222593
2025-08-06,UZS_RUB,2025-08-06,M01,Заметное изменение за пять обновлений,0.00634238,0.012980126527085467,-0.034651235000091374,0.0082076530375236,0.01574466510145156,0.00657004,0.04483370284072344,0.04823542974260538,9.0,False,88.0899599204077,21.536223649482544,346.5123500009137
2025-08-11,UZS_RUB,2025-08-09,M03,Возвращение к уровню пяти обновлений назад,0.00633485,-0.0022695558222531886,0.0009417133178171166,0.009501682830239977,0.01603054051060231,0.00632889,0.02231765317688512,0.022323019644099402,20.0,False,76.30804202151592,28.823293088405208,9.417133178171166
2025-08-12,AMD_RUB,2025-08-12,M03,Возвращение к уровню пяти обновлений назад,0.207695,-0.0013751256124358013,-0.0001251678934724998,0.006623971851741486,0.0111534569854165,0.207721,0.010028392947626428,0.010030710837271053,7.0,True,7.559161270131225,44.141282233715835,1.251678934724998
2025-08-12,KGS_RUB,2025-08-12,M03,Возвращение к уровню пяти обновлений назад,0.911235,-0.001154240766073844,0.00017451892048514495,0.006289058310082041,0.011689149695163638,0.911076,0.010107017151361515,0.010110074693998923,7.0,True,0.0,39.3290640831033,1.7451892048514495
2025-08-13,UZS_RUB,2025-08-13,M03,Возвращение к уровню пяти обновлений назад,0.00634436,0.009202244170453788,0.000312185646397678,0.009501682830239977,0.01574466510145156,0.00634238,0.0182942939458734,0.01829483614258771,2.0,False,0.0,31.416793457908938,3.12185646397678
2025-08-15,AMD_RUB,2025-08-15,M04,Пять обновлений в узком диапазоне,0.207993,0.0021923695901473472,0.005185578967717097,0.006000079740142052,0.0111534569854165,0.20692,0.0027085329854095604,0.005685957946700036,22.0,True,0.0,40.82986757141314,27.085329854095605
2025-08-15,KGS_RUB,2025-08-15,M04,Пять обновлений в узком диапазоне,0.912868,0.001706329219488767,0.005613744420405187,0.006289058310082041,0.011689149695163638,0.907772,0.0034512705585687488,0.0072528364528524885,24.0,True,0.0,29.344688684164417,34.512705585687485
2025-08-15,KZT_RUB,2025-08-15,M03,Возвращение к уровню пяти обновлений назад,0.148274,0.010102799217935665,0.0022170251307909172,0.00833975869516479,0.016430649958349426,0.147946,0.010049713213848031,0.010045406411087096,46.0,False,0.0,10.971476086993402,22.170251307909172
2025-08-15,TJS_RUB,2025-08-15,M04,Пять обновлений в узком диапазоне,8.52795,0.0020798448929233437,0.008436004498256544,0.007100905194540102,0.019726203031784274,8.45661,0.0036652104472002698,0.008788498177929744,22.0,False,0.0,3.6600099178054126,36.6521044720027
2025-08-19,UZS_RUB,2025-08-19,M01,Заметное изменение за пять обновлений,0.00640975,0.007808065609134385,0.019603881963124126,0.009259505659617064,0.01574466510145156,0.00628651,0.010262142096220159,0.019384302500397698,13.0,False,22.06014275127625,7.123941662965249,196.03881963124127
2025-08-21,KZT_RUB,2025-08-21,M04,Пять обновлений в узком диапазоне,0.148736,-0.00036292761610323687,0.013250131138830001,0.00840540950056008,0.016430649958349426,0.146791,0.003471339250755934,0.013476101660636845,37.0,False,0.0,17.708550056136612,34.71339250755934
2025-08-22,AMD_RUB,2025-08-22,M04,Пять обновлений в узком диапазоне,0.209707,0.0020594812591985256,0.008240661945353889,0.005740839793991848,0.0111534569854165,0.207993,0.004582321404023224,0.008831562321534763,7.0,False,2.4319645982249276,-6.177961649833732,45.82321404023224
2025-08-22,KGS_RUB,2025-08-22,M04,Пять обновлений в узком диапазоне,0.917743,0.001810969299758547,0.005340312071405728,0.006219223426935261,0.011257639416693778,0.912868,0.004865411004068704,0.007425341609893045,7.0,True,0.0,4.67958459519954,48.65411004068704
2025-08-25,AMD_RUB,2025-08-23,M02,Заметное изменение после спокойного периода,0.211044,0.006375562093778431,0.010355178307265955,0.005740839793991848,0.0111534569854165,0.208881,0.008421718506917048,0.010311883217803365,87.0,False,65.76827580978374,-49.96268615256047,63.75562093778431
2025-08-25,KGS_RUB,2025-08-23,M02,Заметное изменение после спокойного периода,0.923621,0.006404843185946474,0.009189137805380332,0.006219223426935261,0.011257639416693778,0.915211,0.00819970865304801,0.009156056878601168,87.0,False,48.623840298131185,-43.51698200512607,64.04843185946474
2025-08-25,UZS_RUB,2025-08-23,M01,Заметное изменение за пять обновлений,0.00650485,0.010435452578339666,0.022760684204154558,0.009259505659617064,0.01603054051060231,0.00636009,0.01697483144042105,0.022538257898744026,6.0,False,106.4590267262131,-86.67928789008899,227.60684204154558
2025-08-27,TJS_RUB,2025-08-27,M01,Заметное изменение за пять обновлений,8.38524,-0.006990539146663921,-0.023629015261691366,0.008487234221524932,0.019726203031784274,8.58817,0.023301987116839232,0.0238356067843328,30.0,True,22.01487375435796,150.84049516611745,236.29015261691367
