corridor,date,rate_t,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown,deferred_1d,final_push,final_push_type,final_push_reason
AMD_RUB,2025-06-02,0.204764,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-06-03,0.206091,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-04,0.205426,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-05,0.204561,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-06,0.206383,False,True,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-09,0.206463,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-06-10,0.206615,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-06-11,0.204934,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-06-12,0.206139,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-13,0.206139,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-16,0.206139,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-06-17,0.204572,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-18,0.204834,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-19,0.204759,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-20,0.203955,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-23,0.203541,True,False,True,True,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-06-24,0.202788,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-25,0.203281,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-26,0.202953,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-27,0.203195,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-06-30,0.204175,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-07-01,0.204251,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-02,0.203514,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-03,0.204556,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-04,0.204919,False,False,False,False,False,False,False,none,NO_CANDIDATE
AMD_RUB,2025-07-07,0.205162,True,False,False,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2025-07-08,0.204937,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-09,0.203462,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-10,0.20367,True,False,False,False,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-11,0.20301,True,False,True,True,True,False,False,none,COOLDOWN
AMD_RUB,2025-07-14,0.202874,True,False,True,True,False,False,True,good_day,GOOD_DAY
