date,corridor,rate,ret_1,ret_2,ret_3,ret_5,ret_10,ret_20,log_ret_1,sma_5,dist_sma_5,sma_10,dist_sma_10,sma_20,dist_sma_20,sma_60,dist_sma_60,sma_5_vs_20,sma_20_vs_60,rolling_min_10,rolling_max_10,dist_min_10,dist_max_10,rolling_min_20,rolling_max_20,dist_min_20,dist_max_20,rolling_min_60,rolling_max_60,dist_min_60,dist_max_60,rolling_min_90,rolling_max_90,dist_min_90,dist_max_90,rolling_min_180,rolling_max_180,dist_min_180,dist_max_180,rolling_min_365,rolling_max_365,dist_min_365,dist_max_365,percentile_20,favourability_percentile_20,percentile_60,favourability_percentile_60,percentile_90,favourability_percentile_90,percentile_180,favourability_percentile_180,percentile_365,favourability_percentile_365,mom_3,mom_5,mom_10,mom_20,down_streak,up_streak,vol_5,vol_10,vol_20,vol_60,rolling_range_10,rolling_range_20,rolling_range_60
2020-06-09,UZS_RUB,0.00673094,-0.004656610123875526,-0.010250490761912423,-0.0004247230389972101,-0.021035346887603446,-0.047277050792999264,-0.07572249731543801,-0.00466748590879286,0.0067650639999999995,-0.005044150358370469,0.006871406000000001,-0.020442104570738584,0.0070181075,-0.04091808226078031,0.007420616333333334,-0.09294057290569169,-0.03605580279298948,-0.054241967951539016,0.00673094,0.00701378,0.0,-0.04032632902657329,0.00673094,0.00729296,0.0,-0.0770633597332222,0.00673094,0.00849569,0.0,-0.20772297482605884,0.00645306,0.00849569,0.04306174125143736,-0.20772297482605884,0.00638862,0.00849569,0.05358277687513113,-0.20772297482605884,,,,,0.0,1.0,0.0,1.0,0.2777777777777778,0.7222222222222222,0.3388888888888889,0.6611111111111111,,,-0.0004247230389972101,-0.021035346887603446,-0.047277050792999264,-0.07572249731543801,2,0,0.008363546567769444,0.0069342255971765595,0.007651726951912042,0.017800330474786758,0.04116188157125331,0.08008141796061116,0.23781717322761461
2020-06-10,UZS_RUB,0.00676796,0.0054999747434978374,0.0008177533815507676,-0.004806893458713546,-0.004345715336520728,-0.03504814807421963,-0.06737587675178114,0.005484905112218139,0.006759156,0.0013025294874093873,0.006846824,-0.011518333171701145,0.006993660500000001,-0.03227215561864938,0.007417007000000001,-0.08750793952331459,-0.03353100997682135,-0.057077807800370084,0.00673094,0.00701244,0.0054999747434978374,-0.03486375641003703,0.00673094,0.00729296,0.0054999747434978374,-0.07198723152190611,0.00673094,0.00849569,0.0054999747434978374,-0.2033654711977485,0.00645868,0.00849569,0.04788594573504179,-0.2033654711977485,0.00638862,0.00849569,0.05937745553812879,-0.2033654711977485,,,,,0.15,0.85,0.05,0.95,0.3111111111111111,0.6888888888888889,0.4722222222222222,0.5277777777777778,,,-0.004806893458713546,-0.004345715336520728,-0.03504814807421963,-0.06737587675178114,0,1,0.008155874937671299,0.007581168559759974,0.007937177555957065,0.017811154906554976,0.04111395298024305,0.08036135011129004,0.2379329020452589
2020-06-11,UZS_RUB,0.00676242,-0.0008185627574630594,0.0046769099115426815,-1.4787583753061995e-06,0.0042502004811548755,-0.03514606741573034,-0.06836523545668216,-0.0008188979628939501,0.006764879999999999,-0.00036364281406309207,0.006822191,-0.00876126159469881,0.006968848500000001,-0.02962160821834503,0.007413955666666666,-0.08787962809057348,-0.029268608723521772,-0.06003639442678055,0.00673094,0.00701244,0.0046769099115426815,-0.03565378099491767,0.00673094,0.00729296,0.0046769099115426815,-0.07274686821263254,0.00673094,0.00849569,0.0046769099115426815,-0.20401756655433523,0.00645868,0.00849569,0.047028185325794114,-0.20401756655433523,0.00638862,0.00849569,0.058510288606929084,-0.20401756655433523,,,,,0.1,0.9,0.03333333333333333,0.9666666666666667,0.28888888888888886,0.7111111111111111,0.45,0.55,,,-1.4787583753061995e-06,0.0042502004811548755,-0.03514606741573034,-0.06836523545668216,1,0,0.006676307267355964,0.007576996020996548,0.007914440043386898,0.01779874427638678,0.041262403823053274,0.08064746995145608,0.23803082717831195
2020-06-12,UZS_RUB,0.0068087,0.006843703881155072,0.006019539122571693,0.011552621179211187,0.001183710380625369,-0.029054081033135448,-0.06640102235580614,0.006820392038874909,0.00676649,0.006238093900973851,0.006801817,0.0010119354872382136,0.0069446355,-0.019574173475339296,0.007411209166666667,-0.08129701282438051,-0.025652246255400968,-0.06295513406438069,0.00673094,0.0069782,0.011552621179211187,-0.02428993150096015,0.00673094,0.00721593,0.011552621179211187,-0.056434860094263684,0.00673094,0.00849569,0.011552621179211187,-0.198570098485232,0.00645868,0.00849569,0.0541937361813869,-0.198570098485232,0.00638862,0.00849569,0.06575441957731076,-0.198570098485232,,,,,0.35,0.65,0.11666666666666667,0.8833333333333333,0.3333333333333333,0.6666666666666667,0.55,0.44999999999999996,,,0.011552621179211187,0.001183710380625369,-0.029054081033135448,-0.06640102235580614,0,1,0.005712736852716762,0.008192241562547206,0.008043025806930823,0.017814308878985996,0.036352051223959715,0.06983663865439725,0.2381190383800394
2020-06-16,UZS_RUB,0.00691707,0.015916401075095177,0.022869032092061703,0.022031749596628902,0.022867519515913592,-0.008760138717720967,-0.04141669888704569,0.015791063364504858,0.0067974179999999995,0.017602566150853205,0.006795704,0.017859224003870633,0.006929692499999999,-0.0018215093959795814,0.007407929666666668,-0.0662613832411747,-0.019088076418975253,-0.06455746587586864,0.00673094,0.00691707,0.027652898406463233,0.0,0.00673094,0.00719367,0.027652898406463233,-0.038450471039121914,0.00673094,0.00849569,0.027652898406463233,-0.18581421873914894,0.00645868,0.00849569,0.07097270649730292,-0.18581421873914894,0.00638862,0.00849569,0.08271739436685843,-0.18581421873914894,,,,,0.45,0.55,0.15,0.85,0.37777777777777777,0.6222222222222222,0.6666666666666666,0.33333333333333337,,,0.022031749596628902,0.022867519515913592,-0.008760138717720967,-0.04141669888704569,0,2,0.007844957355692973,0.01004770142948885,0.008921599798275443,0.017742194560810894,0.02738936245604571,0.06677496873057495,0.23822445398487174
2020-06-17,UZS_RUB,0.00686202,-0.007958572054352464,0.007831157195940408,0.014728455197991153,0.019474248767631153,-0.0019707456981749027,-0.04610303224918577,-0.007990410527290654,0.006823634,0.005625448258215426,0.006794349,0.00995989461241975,0.00691311,-0.007390306244222988,0.0073958911666666665,-0.07218483271804044,-0.012942944637073572,-0.06527694307381982,0.00673094,0.00691707,0.019474248767631153,-0.007958572054352464,0.00673094,0.00713642,0.019474248767631153,-0.03845065172733675,0.00673094,0.00849569,0.019474248767631153,-0.1922939749449427,0.0065071,0.00849569,0.05454349863994712,-0.1922939749449427,0.00638862,0.00849569,0.07410050996928907,-0.1922939749449427,,,,,0.4,0.6,0.13333333333333333,0.8666666666666667,0.3333333333333333,0.6666666666666667,0.6111111111111112,0.38888888888888884,,,0.014728455197991153,0.019474248767631153,-0.0019707456981749027,-0.04610303224918577,1,0,0.00888930246051207,0.00919105053772179,0.009016575937346725,0.015612343668370393,0.02739482472860897,0.05865377521838937,0.23861221862670728
2020-06-18,UZS_RUB,0.00683006,-0.004657520671755622,-0.012579025512247322,0.003137162747661071,0.009175586144126058,0.004789996322177359,-0.04292908769382975,-0.004668400716994577,0.006836053999999999,-0.0008768216283837615,0.006797605,0.004774475716079474,0.006897792,-0.009819374083764765,0.007384573166666668,-0.07509075394766118,-0.008950400359999278,-0.06591865984400513,0.00673094,0.00691707,0.014726026379673574,-0.012579025512247322,0.00673094,0.00712761,0.014726026379673574,-0.04174611124907235,0.00673094,0.00849569,0.014726026379673574,-0.19605588245333816,0.00652425,0.00849569,0.046872820630723844,-0.19605588245333816,0.00638862,0.00849569,0.069097864640564,-0.19605588245333816,,,,,0.4,0.6,0.13333333333333333,0.8666666666666667,0.32222222222222224,0.6777777777777778,0.5888888888888889,0.4111111111111111,,,0.003137162747661071,0.009175586144126058,0.004789996322177359,-0.04292908769382975,2,0,0.009559047878229567,0.008496861491940942,0.008937654363344514,0.015579590218119064,0.02738170282033152,0.05750680797565366,0.23897792874013768
2020-06-19,UZS_RUB,0.00683803,0.0011669004371850367,-0.003496055097478523,-0.011426803545431796,0.011180908609639717,0.015478630193946907,-0.04062792436735463,0.0011662201380460296,0.0068511760000000005,-0.001918794671163071,0.006808027999999999,0.004406856141014881,0.006883312999999999,-0.006578663501136672,0.007368674833333334,-0.07201360425525638,-0.004668827351015259,-0.0658682659109513,0.00673094,0.00691707,0.015910110623478912,-0.011426803545431796,0.00673094,0.0070993,0.015910110623478912,-0.03680221993717692,0.00673094,0.00849569,0.015910110623478912,-0.19511775971110057,0.00652425,0.00849569,0.04809441698279504,-0.19511775971110057,0.00638862,0.00849569,0.07034539540620655,-0.19511775971110057,,,,,0.45,0.55,0.15,0.85,0.32222222222222224,0.6777777777777778,0.6,0.4,,,-0.011426803545431796,0.011180908609639717,0.015478630193946907,-0.04062792436735463,0,1,0.009462429605465623,0.007754374006464275,0.008967293441484276,0.014741253191858445,0.02733978179878221,0.05351492805862524,0.23949353715771005
2020-06-20,UZS_RUB,0.00684095,0.000427023572578733,0.0015944223037571703,-0.003070524422837506,0.004736587013673743,0.0059259041415158364,-0.022957314591191436,0.00042693242396044665,0.006857626,-0.002431745329943613,0.006812058,0.004241302701768035,0.006875276000000001,-0.004992672294174216,0.007354654166666667,-0.06984749452869132,-0.002567169667079705,-0.06518024584206017,0.00673094,0.00691707,0.016343928188336188,-0.011004659487326207,0.00673094,0.0070993,0.016343928188336188,-0.03639091178003462,0.00673094,0.00849569,0.016343928188336188,-0.19477405602134734,0.00658167,0.00849569,0.03939425708064981,-0.19477405602134734,0.00638862,0.00849569,0.07080245812084618,-0.19477405602134734,,,,,0.5,0.5,0.16666666666666666,0.8333333333333334,0.32222222222222224,0.6777777777777778,0.6055555555555555,0.3944444444444445,,,-0.003070524422837506,0.004736587013673743,0.0059259041415158364,-0.022957314591191436,0,2,0.009111459249946387,0.007179222054801205,0.008173613029114674,0.014659993662376303,0.02732360763810285,0.05357748547112869,0.23995009962512395
2020-06-23,UZS_RUB,0.00683893,-0.0002952806262288554,0.0001316168545619778,0.0012986708755120535,-0.011296690650810293,0.0113125015711808,-0.03667544687504409,-0.00029532423013677256,0.006841998,-0.0004484070296425502,0.006819708000000001,0.0028185957521933425,0.006862257500000001,-0.0033993915267680475,0.007339081333333333,-0.06814903809032591,-0.0029523083329356936,-0.06497050675370619,0.00673094,0.00691707,0.016043821516756873,-0.011296690650810293,0.00673094,0.00706495,0.016043821516756873,-0.031991733841003844,0.00673094,0.00849569,0.016043821516756873,-0.19501182364234104,0.00658167,0.00849569,0.039087344093520215,-0.19501182364234104,0.00638862,0.00849569,0.07048627090044479,-0.19501182364234104,,,,,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3111111111111111,0.6888888888888889,0.6,0.4,,,0.0012986708755120535,-0.011296690650810293,0.0113125015711808,-0.03667544687504409,1,0,0.003919687366607002,0.006855912526798985,0.007380369864162023,0.01455086567937544,0.027292957411079715,0.048673486822667325,0.2404592509398542
