rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
GRID_F0.80_PA0.005_PR0.002,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.002,0.8,0.005,0.002,False,TJS_RUB,0.005,275,13,0.04727272727272727,0.3076923076923077,0.48430769230769233,0.6353240152477764,0.011773014097297614,0.006609371474786,0.028308628053781003
GRID_F0.80_PA0.005_PR0.002,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.002,0.8,0.005,0.002,False,UZS_RUB,0.005,275,11,0.04,0.36363636363636365,0.44309090909090904,0.820681165367255,0.011342367292911973,0.0121456777041659,0.0266161886342125
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.8,0.005,0.005,False,AMD_RUB,0.005,275,16,0.05818181818181818,0.3125,0.50875,0.6142506142506142,0.01091708299932645,0.0078830948915404,0.02605319838354265
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.8,0.005,0.005,False,KGS_RUB,0.005,275,19,0.06909090909090909,0.2631578947368421,0.49873684210526315,0.527648796960743,0.011949479027718346,0.010075747934776,0.026134230068212094
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.8,0.005,0.005,False,KZT_RUB,0.005,275,12,0.04363636363636364,0.5833333333333334,0.438,1.3318112633181127,0.005515849203387509,0.00200680272108835,0.01473378659044439
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.8,0.005,0.005,False,TJS_RUB,0.005,275,15,0.05454545454545454,0.4,0.4886666666666667,0.8185538881309686,0.010437231228518888,0.0054164400415169,0.0280529353553726
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.8,0.005,0.005,False,UZS_RUB,0.005,275,19,0.06909090909090909,0.3684210526315789,0.4529473684210526,0.8133860097606321,0.010304962251180553,0.0064715779861504,0.0244876838251765
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.8,0.005,0.01,False,AMD_RUB,0.005,275,16,0.05818181818181818,0.3125,0.4955,0.6306760847628659,0.01091708299932645,0.0078830948915404,0.02605319838354265
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.8,0.005,0.01,False,KGS_RUB,0.005,275,19,0.06909090909090909,0.2631578947368421,0.5030526315789473,0.5231219920485457,0.011949479027718346,0.010075747934776,0.026134230068212094
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.8,0.005,0.01,False,KZT_RUB,0.005,275,12,0.04363636363636364,0.5833333333333334,0.42933333333333334,1.358695652173913,0.005515849203387509,0.00200680272108835,0.01473378659044439
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.8,0.005,0.01,False,TJS_RUB,0.005,275,15,0.05454545454545454,0.4,0.4893333333333333,0.8174386920980927,0.010437231228518888,0.0054164400415169,0.0280529353553726
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.8,0.005,0.01,False,UZS_RUB,0.005,275,19,0.06909090909090909,0.3684210526315789,0.4496842105263158,0.8192883895131086,0.010304962251180553,0.0064715779861504,0.0244876838251765
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.85,,0.002,False,AMD_RUB,0.005,275,66,0.24,0.5454545454545454,0.4996363636363636,1.091703056768559,0.007209436737962446,0.0032788069602134,0.0212886147658518
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.85,,0.002,False,KGS_RUB,0.005,275,74,0.2690909090909091,0.47297297297297297,0.4952702702702703,0.9549795361527966,0.009162438739384385,0.0054875841576058,0.02379324773433213
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.85,,0.002,False,KZT_RUB,0.005,275,41,0.14909090909090908,0.3902439024390244,0.43448780487804883,0.8981699786684629,0.010283931683269666,0.0078069025184864,0.0256679795614221
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.85,,0.002,False,TJS_RUB,0.005,275,81,0.29454545454545455,0.41975308641975306,0.486320987654321,0.8631194151096668,0.009727636314009145,0.0064467446799447,0.0248408636071746
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.85,,0.002,False,UZS_RUB,0.005,275,59,0.21454545454545454,0.4745762711864407,0.44515254237288127,1.0660980810234544,0.008979296659988133,0.0050787095613973,0.026908509034710586
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.85,,0.005,False,AMD_RUB,0.005,275,71,0.2581818181818182,0.5352112676056338,0.4987323943661972,1.0731431798926856,0.007749920811802269,0.0034201241086762,0.022154957769858
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.85,,0.005,False,KGS_RUB,0.005,275,89,0.3236363636363636,0.4606741573033708,0.49741573033707864,0.9261350801897448,0.009390897035420835,0.0055776820016948,0.024432063914630618
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.85,,0.005,False,KZT_RUB,0.005,275,48,0.17454545454545456,0.4583333333333333,0.4321666666666667,1.0605476282298494,0.009143423066606128,0.0055205146095912,0.024724993893684634
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.85,,0.005,False,TJS_RUB,0.005,275,83,0.3018181818181818,0.43373493975903615,0.486722891566265,0.8911332244170505,0.009535515983104276,0.0060879760527503,0.024652042392745797
