corridor,model,feature,importance,rank
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,0.0364180358455888,9
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,0.03384597566362062,10
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,0.02418034543852805,11
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,0.01666862227192013,12
TJS_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,0.01502584129098243,13
TJS_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,0.00033377854719598255,14
TJS_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,0.0,15
TJS_RUB,DIRECT_RIDGE,vol_20,0.006856960549987974,1
TJS_RUB,DIRECT_RIDGE,vol_5,0.0036301234904741117,2
TJS_RUB,DIRECT_RIDGE,ret_5,0.0035276768955818097,3
TJS_RUB,DIRECT_RIDGE,corridor_specific_return_1,0.0026180224742626485,4
TJS_RUB,DIRECT_RIDGE,dist_sma_20,0.002528628981576843,5
TJS_RUB,DIRECT_RIDGE,dist_min_20,0.0025044411702466224,6
TJS_RUB,DIRECT_RIDGE,broad_rub_return_1,0.001854112652135737,7
TJS_RUB,DIRECT_RIDGE,ret_3,0.0014619138324872755,8
TJS_RUB,DIRECT_RIDGE,broad_rub_return_5,0.0013371424785208453,9
TJS_RUB,DIRECT_RIDGE,broad_rub_return_3,0.0012905721858889807,10
TJS_RUB,DIRECT_RIDGE,reversal_strength,0.0010868638979463648,11
TJS_RUB,DIRECT_RIDGE,favourability_percentile_90,0.0010386740255888785,12
TJS_RUB,DIRECT_RIDGE,ret_1,0.0004713493644391886,13
TJS_RUB,DIRECT_RIDGE,near_min_reversal_010,0.00021053087411007027,14
TJS_RUB,DIRECT_RIDGE,return_sign_reversal_up,0.00018543771965516534,15
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20,0.32196399420098565,1
UZS_RUB,DIRECT_GRADIENT_BOOSTING,reversal_strength,0.15563570087605993,2
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,0.08088823799014372,3
UZS_RUB,DIRECT_GRADIENT_BOOSTING,dist_sma_20,0.07433333687156832,4
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,0.06844301525900591,5
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,0.04815082161963481,6
UZS_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,0.04801063394467999,7
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_5,0.04756659283278068,8
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,0.041952396358805016,9
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,0.03995014729606193,10
UZS_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,0.027063734400019475,11
UZS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,0.0255287624332332,12
