corridor,date,rate_t,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown,deferred_1d,final_push,final_push_type,final_push_reason
KZT_RUB,2025-02-21,0.175752,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-02-24,0.17642,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-02-25,0.175546,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-02-26,0.172268,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-02-27,0.172307,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-02-28,0.174946,False,True,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-12,0.174939,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-03-13,0.177308,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-14,0.177081,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-18,0.166893,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-19,0.163317,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-20,0.166896,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-21,0.168683,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-03-25,0.166803,False,False,True,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-02,0.168247,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-03,0.168046,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-04,0.167743,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-09,0.16489,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-10,0.166019,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-11,0.163341,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-14,0.163058,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-04-15,0.160732,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-16,0.158817,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-17,0.159775,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-18,0.157226,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-21,0.155079,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-04-22,0.154742,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-04-23,0.156198,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-06,0.158698,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-07,0.156142,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-08,0.157165,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-09,0.157165,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-12,0.157165,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-05-13,0.156757,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-14,0.156791,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-15,0.157283,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-20,0.157826,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-21,0.157225,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-22,0.155892,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-23,0.156164,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-27,0.155937,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-28,0.155795,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-29,0.155427,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-05-30,0.153117,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-02,0.154375,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-06-04,0.154203,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-05,0.153295,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-06,0.154645,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-17,0.153357,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-18,0.153605,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-19,0.152126,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-20,0.151277,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-23,0.151095,True,False,True,True,False,False,True,good_day,GOOD_DAY
KZT_RUB,2025-06-24,0.150109,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-25,0.149752,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-26,0.150591,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-06-27,0.150842,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-07-02,0.150909,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-07-03,0.151464,False,True,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-07-08,0.151525,True,False,False,False,True,False,False,none,COOLDOWN
KZT_RUB,2025-07-09,0.150465,True,False,True,True,True,False,False,none,COOLDOWN
KZT_RUB,2025-07-10,0.150454,True,False,True,True,True,False,False,none,COOLDOWN
