corridor,date,rate_t,favourability_percentile_90,past_best_5,past_advantage_5,predicted_rate_h1,predicted_rate_h2,predicted_rate_h3,predicted_rate_h4,predicted_rate_h5,predicted_future_best_5,predicted_regret_5,actual_future_best_5,actual_regret_5
UZS_RUB,2025-08-21,0.00639561,0.11111111111111116,0.00636009,-0.005584826629811951,0.0063920014260618,0.0063926045689323,0.0063944923107969,0.0063997893100387,0.0064026976738587,0.0063920014260618,0.0005642267020972741,0.00643767,0.0
UZS_RUB,2025-08-22,0.00643767,0.05555555555555558,0.00636009,-0.012197940595180368,0.0064404927296889,0.0064406005470183,0.0064361707987706,0.0064511129223416,0.0064500710820108,0.0064361707987706,0.00023287947804106487,0.00646837,0.0
UZS_RUB,2025-08-23,0.00650485,0.033333333333333326,0.00636009,-0.022760684204154457,0.0065091763763685,0.0065108055216959,0.0065038759138989,0.0065224145445775,0.0065185620805856,0.0065038759138989,0.0001497476653727831,0.0064356,0.01064590267262131
UZS_RUB,2025-08-26,0.00652939,0.022222222222222254,0.00639561,-0.020917473079190257,0.0065356392713534,0.0065392616166992,0.0065290351040422,0.0065500552334197,0.0065425365268888,0.0065290351040422,5.435361615714352e-05,0.0064356,0.014364282115174726
UZS_RUB,2025-08-27,0.00654381,0.022222222222222254,0.00639561,-0.023172144642965936,0.0065389940917415,0.0065444852387811,0.0065428300797299,0.0065614805149982,0.0065543167322528,0.0065389940917415,0.0007359486688182707,0.0064356,0.016536238063146712
UZS_RUB,2025-08-28,0.00651108,0.0444444444444444,0.00639561,-0.018054571807849362,0.0065107625607205,0.0065106146788602,0.0065093273084978,0.0065153614690544,0.006515954707949,0.0065093273084978,0.0002691859879159754,0.0064356,0.011592546858585698
UZS_RUB,2025-08-29,0.00646837,0.06666666666666665,0.00643767,-0.004768806105314473,0.0064658357474382,0.0064668018884153,0.0064650310305143,0.0064708813612825,0.0064744930487343,0.0064650310305143,0.0005161995194616808,0.0064356,0.005066191327954422
UZS_RUB,2025-08-30,0.0064356,0.0888888888888889,0.00646837,0.005066191327954422,0.0064372539607233,0.006436211580555,0.0064336278327053,0.0064403087575761,0.0064456707634116,0.0064336278327053,0.00030644653096837174,0.00644317,0.0
UZS_RUB,2025-09-02,0.00644317,0.07777777777777772,0.0064356,-0.0011762695009012597,0.006447065547458,0.0064487752090112,0.0064410789962877,0.0064551273646772,0.0064558368222009,0.0064410789962877,0.00032453027194682694,0.00646791,0.0
UZS_RUB,2025-09-03,0.00646791,0.07777777777777772,0.0064356,-0.005020510908073944,0.0064668874879082,0.0064694582548171,0.0064655520616908,0.0064848220106605,0.0064819970127958,0.0064655520616908,0.00036455954229418924,0.00650805,0.0
UZS_RUB,2025-09-04,0.00650805,0.05555555555555558,0.0064356,-0.011257691590527683,0.0065146612607506,0.0065148302327306,0.0065084233931839,0.0065257615657179,0.0065252547690371,0.0065084233931839,0.0,0.00655742,0.0
UZS_RUB,2025-09-05,0.00656975,0.011111111111111072,0.0064356,-0.020844987258375355,0.0065766263317369,0.0065826142947699,0.0065696282029145,0.0065919632388853,0.0065852409476459,0.0065696282029145,1.8539074622270677e-05,0.00655742,0.001876783743673732
