feature,role,dtype,missing_share,n_unique,mean,std,min,median,max,dominant_value_share,is_constant,is_near_constant,is_critical_missingness,exact_duplicate_of,max_abs_pearson_ge_090,high_corr_pair_occurrences_090,high_corr_pair_occurrences_098,max_vif_representative_subset,vif_status,in_structural_reduced_set,in_candidate_reduced_set,recommended_action
favourability_percentile_90,CAUSAL FEATURE,float64,0.04764425622022234,91,0.4861342721264901,0.3637071753966903,0.0,0.47777777777777775,1.0,0.07326292384658144,False,False,False,,1.0,17,5,,not_in_vif_subset,True,False,retain for future temporal screening
mom_10,CAUSAL FEATURE,float64,0.005293806246691371,9395,0.0018051980209372418,0.04573863809691826,-0.29609655262927637,2.4575458946740625e-05,0.5043835368815879,0.00010643959552953698,False,False,False,ret_10,1.0,13,5,,not_in_vif_subset,False,False,exclude duplicate; prefer ret_10
mom_20,CAUSAL FEATURE,float64,0.010587612493382742,9345,0.0034690263348207727,0.062235663607934186,-0.4283698310516405,0.0001570892117113143,0.6006953610597807,0.00010700909577314071,False,False,False,ret_20,1.0,8,5,,not_in_vif_subset,False,False,exclude duplicate; prefer ret_20
mom_3,CAUSAL FEATURE,float64,0.0015881418740074113,9429,0.0005341723631135802,0.023565452692456444,-0.19836357770888413,0.00011124366548564968,0.235738436570192,0.00021208907741251324,False,False,False,ret_3,1.0,13,5,,not_in_vif_subset,False,False,exclude duplicate; prefer ret_3
mom_5,CAUSAL FEATURE,float64,0.0026469031233456856,9420,0.0008935173772542584,0.030995688619814995,-0.20012718023255816,0.0001619212314394325,0.2856080196909274,0.00010615711252653928,False,False,False,ret_5,1.0,13,5,,not_in_vif_subset,False,False,exclude duplicate; prefer ret_5
near_min_prev_002,CAUSAL FEATURE,int8,0.0,2,0.16135521439915299,0.36787774848290744,0.0,0.0,1.0,0.838644785600847,False,False,False,,,0,0,,not_in_vif_subset,True,True,retain for future temporal screening
near_min_prev_005,CAUSAL FEATURE,int8,0.0,2,0.22604552673372155,0.4182911324128962,0.0,0.0,1.0,0.7739544732662784,False,False,False,,,0,0,,not_in_vif_subset,True,True,retain for future temporal screening
near_min_prev_010,CAUSAL FEATURE,int8,0.0,2,0.3285336156696665,0.4697048410594,0.0,0.0,1.0,0.6714663843303335,False,False,False,,,0,0,,not_in_vif_subset,True,True,retain for future temporal screening
near_min_reversal_002,CAUSAL FEATURE,int8,0.0,2,0.06416093170989942,0.2450523708999206,0.0,0.0,1.0,0.9358390682901006,False,False,False,,0.9017455427697094,2,0,,not_in_vif_subset,True,True,retain for future temporal screening
near_min_reversal_005,CAUSAL FEATURE,int8,0.0,2,0.08025410269984119,0.27170056606864956,0.0,0.0,1.0,0.9197458973001588,False,False,False,,0.9017455427697094,2,0,,not_in_vif_subset,True,True,retain for future temporal screening
near_min_reversal_010,CAUSAL FEATURE,int8,0.0,2,0.10492323980942297,0.3064707129531562,0.0,0.0,1.0,0.895076760190577,False,False,False,,,0,0,,not_in_vif_subset,True,True,retain for future temporal screening
percentile_180,CAUSAL FEATURE,float64,0.09528851244044469,181,0.5065548403874911,0.354437387545425,0.0,0.5055555555555555,1.0,0.04950263311878291,False,False,False,,1.0,11,5,8.31123540994159,moderate,True,True,retain for future temporal screening
percentile_20,CAUSAL FEATURE,float64,0.010587612493382742,21,0.5032530765115034,0.35836850666059383,0.0,0.5,1.0,0.12659176029962546,False,False,False,,1.0,5,5,9.943238847170315,moderate,True,True,retain for future temporal screening
percentile_365,CAUSAL FEATURE,float64,0.19322392800423505,366,0.4935149031028655,0.3434918036099819,0.0,0.5041095890410959,1.0,0.025590551181102362,False,False,False,,1.0,9,5,,not_in_vif_subset,True,False,retain for future temporal screening
percentile_60,CAUSAL FEATURE,float64,0.03176283748014823,61,0.5150920357207946,0.3657708961850732,0.0,0.5333333333333333,1.0,0.08310552214324768,False,False,False,,1.0,15,5,15.052419441809928,severe,True,False,retain for future temporal screening
percentile_90,CAUSAL FEATURE,float64,0.04764425622022234,91,0.5138657278735099,0.3637071753966903,0.0,0.5222222222222223,1.0,0.07326292384658144,False,False,False,,1.0,17,5,,not_in_vif_subset,True,False,retain for future temporal screening
recipient_usd_implied,CAUSAL FEATURE,float64,0.0,9440,0.02261904478418661,0.03722472173211345,7.68997640347293e-05,0.002556106382019379,0.10856227911122039,0.00021175224986765483,False,False,False,,0.9049906620929705,1,0,,not_in_vif_subset,True,False,retain for future temporal screening
recipient_usd_ret_1,CAUSAL FEATURE,float64,0.0005293806246691371,9437,-3.310854480927496e-05,0.005687245624737652,-0.1307695293397032,3.7057165225284905e-08,0.15248766061625463,0.000423728813559322,False,False,False,,0.9494612474824013,3,0,13.275559594282935,severe,True,False,retain for future temporal screening
recipient_usd_ret_10,CAUSAL FEATURE,float64,0.005293806246691371,9395,-0.00034907960982161256,0.016843886297353384,-0.18771679744277225,-3.05988594462292e-07,0.2002935240746455,0.00010643959552953698,False,False,False,,0.9454134684859734,2,0,4.832542074596551,acceptable,True,True,retain for future temporal screening
recipient_usd_ret_3,CAUSAL FEATURE,float64,0.0015881418740074113,9430,-0.00010807750858195692,0.009173029414909066,-0.14153974732833197,-6.298406091120867e-08,0.11405635188540075,0.00010604453870625662,False,False,False,,0.9392814854262594,3,0,,not_in_vif_subset,True,False,retain for future temporal screening
recipient_usd_ret_5,CAUSAL FEATURE,float64,0.0026469031233456856,9420,-0.00017909271358501944,0.01170837805253305,-0.14153826598649577,-1.3352568017932498e-07,0.15256069344390544,0.00010615711252653928,False,False,False,,0.9400620345472499,2,0,13.499617682018453,severe,True,False,retain for future temporal screening
ret_1,CAUSAL FEATURE,float64,0.0005293806246691371,9433,0.0001693806067953907,0.012798234865613404,-0.13731064794894565,6.740440609442899e-05,0.19511646111411607,0.000847457627118644,False,False,False,,0.9502903386172817,2,0,5629.716217338772,severe,True,False,retain for future temporal screening
ret_10,CAUSAL FEATURE,float64,0.005293806246691371,9395,0.0018051980209372418,0.04573863809691826,-0.29609655262927637,2.4575458946740625e-05,0.5043835368815879,0.00010643959552953698,False,False,False,,1.0,13,5,16.05384325898842,severe,True,False,retain for future temporal screening
ret_2,CAUSAL FEATURE,float64,0.0010587612493382743,9434,0.0003541533016589368,0.019023998616376533,-0.13801020355705618,0.00023780930072181405,0.218110230409305,0.00021197668256491787,False,False,False,,0.9202819930747325,5,0,3220.676132826364,severe,True,False,retain for future temporal screening
