corridor,month,n_signals,n_hits,hit_rate,policy
TJS_RUB,2025-07,1,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-08,14,3,0.21428571428571427,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-09,4,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-10,9,3,0.3333333333333333,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-11,10,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2025-12,5,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-01,11,2,0.18181818181818182,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-02,2,1,0.5,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-03,3,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-04,13,3,0.23076923076923078,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-05,3,1,0.3333333333333333,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-06,0,0,,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-07,12,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
TJS_RUB,2026-08,3,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-07,2,0,0.0,POLICY_FULL
UZS_RUB,2025-08,4,0,0.0,POLICY_FULL
UZS_RUB,2025-09,4,0,0.0,POLICY_FULL
UZS_RUB,2025-10,3,1,0.3333333333333333,POLICY_FULL
UZS_RUB,2025-11,4,0,0.0,POLICY_FULL
UZS_RUB,2025-12,3,2,0.6666666666666666,POLICY_FULL
UZS_RUB,2026-01,3,0,0.0,POLICY_FULL
UZS_RUB,2026-02,1,0,0.0,POLICY_FULL
UZS_RUB,2026-03,3,0,0.0,POLICY_FULL
UZS_RUB,2026-04,2,0,0.0,POLICY_FULL
UZS_RUB,2026-05,2,0,0.0,POLICY_FULL
UZS_RUB,2026-06,2,0,0.0,POLICY_FULL
UZS_RUB,2026-07,4,0,0.0,POLICY_FULL
UZS_RUB,2026-08,1,0,0.0,POLICY_FULL
UZS_RUB,2025-07,2,0,0.0,POLICY_SIMPLE
UZS_RUB,2025-08,4,0,0.0,POLICY_SIMPLE
UZS_RUB,2025-09,2,0,0.0,POLICY_SIMPLE
UZS_RUB,2025-10,4,1,0.25,POLICY_SIMPLE
UZS_RUB,2025-11,3,0,0.0,POLICY_SIMPLE
UZS_RUB,2025-12,2,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-01,3,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-02,2,1,0.5,POLICY_SIMPLE
UZS_RUB,2026-03,4,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-04,4,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-05,2,1,0.5,POLICY_SIMPLE
UZS_RUB,2026-06,2,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-07,3,0,0.0,POLICY_SIMPLE
UZS_RUB,2026-08,2,0,0.0,POLICY_SIMPLE
UZS_RUB,2025-07,6,2,0.3333333333333333,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-08,8,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-09,5,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-10,7,2,0.2857142857142857,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-11,6,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2025-12,5,2,0.4,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-01,9,1,0.1111111111111111,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-02,2,1,0.5,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-03,10,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-04,4,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-05,5,2,0.4,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-06,3,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-07,7,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
UZS_RUB,2026-08,2,0,0.0,POLICY_SIMPLE_NO_COOLDOWN
