date,type,corridor,label,rate
2025-01-10,Кандидат,KZT_RUB,1,0.194016
2025-01-10,Кандидат,TJS_RUB,1,9.35036
2025-01-10,Кандидат,UZS_RUB,1,0.00789102
2025-01-13,Closing,AMD_RUB,0,0.256815
2025-01-13,Closing,KGS_RUB,0,1.17143
2025-01-13,Closing,KZT_RUB,0,0.194216
2025-01-13,Closing,TJS_RUB,0,9.30854
2025-01-13,Closing,UZS_RUB,0,0.00787567
2025-01-13,Fact,AMD_RUB,0,0.256815
2025-01-13,Fact,KGS_RUB,0,1.17143
2025-01-13,Fact,KZT_RUB,0,0.194216
2025-01-13,Fact,TJS_RUB,0,9.30854
2025-01-13,Fact,UZS_RUB,0,0.00787567
2025-01-13,Good day,AMD_RUB,1,0.256815
2025-01-13,Good day,KGS_RUB,1,1.17143
2025-01-13,Good day,KZT_RUB,1,0.194216
2025-01-13,Good day,TJS_RUB,1,9.30854
2025-01-13,Good day,UZS_RUB,1,0.00787567
2025-01-13,Кандидат,AMD_RUB,1,0.256815
2025-01-13,Кандидат,KGS_RUB,1,1.17143
2025-01-13,Кандидат,KZT_RUB,1,0.194216
2025-01-13,Кандидат,TJS_RUB,1,9.30854
2025-01-13,Кандидат,UZS_RUB,1,0.00787567
2025-01-14,Closing,AMD_RUB,0,0.258567
2025-01-14,Closing,KGS_RUB,0,1.17467
2025-01-14,Closing,KZT_RUB,0,0.194962
2025-01-14,Closing,TJS_RUB,0,9.38419
2025-01-14,Closing,UZS_RUB,0,0.00792684
2025-01-14,Fact,AMD_RUB,0,0.258567
2025-01-14,Fact,KGS_RUB,0,1.17467
2025-01-14,Fact,KZT_RUB,0,0.194962
2025-01-14,Fact,TJS_RUB,0,9.38419
2025-01-14,Fact,UZS_RUB,0,0.00792684
2025-01-14,Good day,AMD_RUB,0,0.258567
2025-01-14,Good day,KGS_RUB,0,1.17467
2025-01-14,Good day,KZT_RUB,0,0.194962
2025-01-14,Good day,TJS_RUB,0,9.38419
2025-01-14,Good day,UZS_RUB,0,0.00792684
2025-01-14,Кандидат,AMD_RUB,1,0.258567
2025-01-14,Кандидат,KGS_RUB,1,1.17467
2025-01-14,Кандидат,KZT_RUB,1,0.194962
2025-01-14,Кандидат,TJS_RUB,1,9.38419
2025-01-14,Кандидат,UZS_RUB,1,0.00792684
2025-01-15,Closing,AMD_RUB,0,0.260038
2025-01-15,Closing,KGS_RUB,0,1.18282
2025-01-15,Closing,KZT_RUB,0,0.195713
2025-01-15,Closing,TJS_RUB,0,9.45088
2025-01-15,Closing,UZS_RUB,0,0.00797389
2025-01-15,Fact,AMD_RUB,0,0.260038
2025-01-15,Fact,KGS_RUB,0,1.18282
2025-01-15,Fact,KZT_RUB,0,0.195713
2025-01-15,Fact,TJS_RUB,0,9.45088
2025-01-15,Fact,UZS_RUB,0,0.00797389
2025-01-15,Good day,AMD_RUB,0,0.260038
2025-01-15,Good day,KGS_RUB,0,1.18282
2025-01-15,Good day,KZT_RUB,0,0.195713
2025-01-15,Good day,TJS_RUB,0,9.45088
2025-01-15,Good day,UZS_RUB,0,0.00797389
2025-01-15,Кандидат,AMD_RUB,0,0.260038
2025-01-15,Кандидат,KGS_RUB,0,1.18282
2025-01-15,Кандидат,KZT_RUB,1,0.195713
2025-01-15,Кандидат,TJS_RUB,0,9.45088
2025-01-15,Кандидат,UZS_RUB,0,0.00797389
2025-01-16,Closing,AMD_RUB,0,0.258253
2025-01-16,Closing,KGS_RUB,0,1.17563
2025-01-16,Closing,KZT_RUB,0,0.193889
2025-01-16,Closing,TJS_RUB,0,9.39167
2025-01-16,Closing,UZS_RUB,0,0.00792597
2025-01-16,Fact,AMD_RUB,0,0.258253
2025-01-16,Fact,KGS_RUB,0,1.17563
2025-01-16,Fact,KZT_RUB,0,0.193889
2025-01-16,Fact,TJS_RUB,0,9.39167
2025-01-16,Fact,UZS_RUB,0,0.00792597
2025-01-16,Good day,AMD_RUB,0,0.258253
2025-01-16,Good day,KGS_RUB,0,1.17563
2025-01-16,Good day,KZT_RUB,0,0.193889
2025-01-16,Good day,TJS_RUB,0,9.39167
2025-01-16,Good day,UZS_RUB,0,0.00792597
2025-01-16,Кандидат,AMD_RUB,1,0.258253
2025-01-16,Кандидат,KGS_RUB,1,1.17563
2025-01-16,Кандидат,KZT_RUB,1,0.193889
2025-01-16,Кандидат,TJS_RUB,1,9.39167
2025-01-16,Кандидат,UZS_RUB,1,0.00792597
2025-01-17,Closing,AMD_RUB,0,0.257162
2025-01-17,Closing,KGS_RUB,0,1.17069
2025-01-17,Closing,KZT_RUB,0,0.193272
2025-01-17,Closing,TJS_RUB,0,9.35224
2025-01-17,Closing,UZS_RUB,0,0.00789817
2025-01-17,Fact,AMD_RUB,0,0.257162
2025-01-17,Fact,KGS_RUB,0,1.17069
2025-01-17,Fact,KZT_RUB,0,0.193272
2025-01-17,Fact,TJS_RUB,0,9.35224
2025-01-17,Fact,UZS_RUB,0,0.00789817
2025-01-17,Good day,AMD_RUB,0,0.257162
2025-01-17,Good day,KGS_RUB,0,1.17069
2025-01-17,Good day,KZT_RUB,0,0.193272
2025-01-17,Good day,TJS_RUB,0,9.35224
2025-01-17,Good day,UZS_RUB,0,0.00789817
2025-01-17,Кандидат,AMD_RUB,1,0.257162
2025-01-17,Кандидат,KGS_RUB,1,1.17069
2025-01-17,Кандидат,KZT_RUB,1,0.193272
2025-01-17,Кандидат,TJS_RUB,1,9.35224
2025-01-17,Кандидат,UZS_RUB,1,0.00789817
2025-01-20,Closing,AMD_RUB,0,0.256715
2025-01-20,Closing,KGS_RUB,0,1.17111
2025-01-20,Closing,KZT_RUB,0,0.193361
2025-01-20,Closing,TJS_RUB,0,9.35242
2025-01-20,Closing,UZS_RUB,0,0.00790518
2025-01-20,Fact,AMD_RUB,0,0.256715
2025-01-20,Fact,KGS_RUB,0,1.17111
2025-01-20,Fact,KZT_RUB,0,0.193361
2025-01-20,Fact,TJS_RUB,0,9.35242
2025-01-20,Fact,UZS_RUB,0,0.00790518
2025-01-20,Good day,AMD_RUB,1,0.256715
2025-01-20,Good day,KGS_RUB,1,1.17111
2025-01-20,Good day,KZT_RUB,1,0.193361
2025-01-20,Good day,TJS_RUB,1,9.35242
2025-01-20,Good day,UZS_RUB,1,0.00790518
2025-01-20,Кандидат,AMD_RUB,1,0.256715
2025-01-20,Кандидат,KGS_RUB,1,1.17111
2025-01-20,Кандидат,KZT_RUB,1,0.193361
2025-01-20,Кандидат,TJS_RUB,1,9.35242
2025-01-20,Кандидат,UZS_RUB,1,0.00790518
2025-01-21,Closing,AMD_RUB,0,0.255764
2025-01-21,Closing,KGS_RUB,0,1.16593
2025-01-21,Closing,KZT_RUB,0,0.19233
2025-01-21,Closing,TJS_RUB,0,9.3188
2025-01-21,Closing,UZS_RUB,0,0.00786287
2025-01-21,Fact,AMD_RUB,0,0.255764
2025-01-21,Fact,KGS_RUB,0,1.16593
2025-01-21,Fact,KZT_RUB,0,0.19233
2025-01-21,Fact,TJS_RUB,0,9.3188
2025-01-21,Fact,UZS_RUB,0,0.00786287
2025-01-21,Good day,AMD_RUB,0,0.255764
2025-01-21,Good day,KGS_RUB,0,1.16593
2025-01-21,Good day,KZT_RUB,0,0.19233
2025-01-21,Good day,TJS_RUB,0,9.3188
2025-01-21,Good day,UZS_RUB,0,0.00786287
2025-01-21,Кандидат,AMD_RUB,1,0.255764
2025-01-21,Кандидат,KGS_RUB,1,1.16593
2025-01-21,Кандидат,KZT_RUB,1,0.19233
2025-01-21,Кандидат,TJS_RUB,1,9.3188
2025-01-21,Кандидат,UZS_RUB,1,0.00786287
2025-01-22,Closing,AMD_RUB,0,0.250547
2025-01-22,Closing,KGS_RUB,0,1.14269
2025-01-22,Closing,KZT_RUB,0,0.188547
2025-01-22,Closing,TJS_RUB,0,9.12895
2025-01-22,Closing,UZS_RUB,0,0.00770154
2025-01-22,Fact,AMD_RUB,0,0.250547
2025-01-22,Fact,KGS_RUB,0,1.14269
2025-01-22,Fact,KZT_RUB,0,0.188547
2025-01-22,Fact,TJS_RUB,0,9.12895
2025-01-22,Fact,UZS_RUB,0,0.00770154
2025-01-22,Good day,AMD_RUB,0,0.250547
2025-01-22,Good day,KGS_RUB,0,1.14269
2025-01-22,Good day,KZT_RUB,0,0.188547
2025-01-22,Good day,TJS_RUB,0,9.12895
2025-01-22,Good day,UZS_RUB,0,0.00770154
2025-01-22,Кандидат,AMD_RUB,1,0.250547
2025-01-22,Кандидат,KGS_RUB,1,1.14269
2025-01-22,Кандидат,KZT_RUB,1,0.188547
2025-01-22,Кандидат,TJS_RUB,1,9.12895
2025-01-22,Кандидат,UZS_RUB,0,0.00770154
2025-01-23,Closing,AMD_RUB,0,0.246477
2025-01-23,Closing,KGS_RUB,0,1.12385
2025-01-23,Closing,KZT_RUB,0,0.186285
2025-01-23,Closing,TJS_RUB,0,8.97841
2025-01-23,Closing,UZS_RUB,0,0.00756909
2025-01-23,Fact,AMD_RUB,0,0.246477
2025-01-23,Fact,KGS_RUB,0,1.12385
2025-01-23,Fact,KZT_RUB,0,0.186285
2025-01-23,Fact,TJS_RUB,0,8.97841
2025-01-23,Fact,UZS_RUB,0,0.00756909
2025-01-23,Good day,AMD_RUB,0,0.246477
2025-01-23,Good day,KGS_RUB,0,1.12385
2025-01-23,Good day,KZT_RUB,0,0.186285
2025-01-23,Good day,TJS_RUB,0,8.97841
2025-01-23,Good day,UZS_RUB,0,0.00756909
2025-01-23,Кандидат,AMD_RUB,1,0.246477
2025-01-23,Кандидат,KGS_RUB,1,1.12385
2025-01-23,Кандидат,KZT_RUB,1,0.186285
2025-01-23,Кандидат,TJS_RUB,1,8.97841
2025-01-23,Кандидат,UZS_RUB,0,0.00756909
2025-01-24,Closing,AMD_RUB,0,0.24844
2025-01-24,Closing,KGS_RUB,0,1.13322
2025-01-24,Closing,KZT_RUB,0,0.19024
2025-01-24,Closing,TJS_RUB,0,9.05251
2025-01-24,Closing,UZS_RUB,0,0.00762878
2025-01-24,Fact,AMD_RUB,0,0.24844
2025-01-24,Fact,KGS_RUB,0,1.13322
2025-01-24,Fact,KZT_RUB,0,0.19024
2025-01-24,Fact,TJS_RUB,0,9.05251
2025-01-24,Fact,UZS_RUB,0,0.00762878
2025-01-24,Good day,AMD_RUB,0,0.24844
2025-01-24,Good day,KGS_RUB,0,1.13322
2025-01-24,Good day,KZT_RUB,0,0.19024
2025-01-24,Good day,TJS_RUB,0,9.05251
2025-01-24,Good day,UZS_RUB,0,0.00762878
2025-01-24,Кандидат,AMD_RUB,1,0.24844
2025-01-24,Кандидат,KGS_RUB,1,1.13322
2025-01-24,Кандидат,KZT_RUB,0,0.19024
2025-01-24,Кандидат,TJS_RUB,1,9.05251
2025-01-24,Кандидат,UZS_RUB,0,0.00762878
2025-01-27,Closing,AMD_RUB,0,0.246293
2025-01-27,Closing,KGS_RUB,0,1.12365
2025-01-27,Closing,KZT_RUB,0,0.188093
2025-01-27,Closing,TJS_RUB,0,8.9763
2025-01-27,Closing,UZS_RUB,0,0.00757089
2025-01-27,Fact,AMD_RUB,0,0.246293
2025-01-27,Fact,KGS_RUB,0,1.12365
2025-01-27,Fact,KZT_RUB,0,0.188093
2025-01-27,Fact,TJS_RUB,0,8.9763
2025-01-27,Fact,UZS_RUB,0,0.00757089
2025-01-27,Good day,AMD_RUB,1,0.246293
2025-01-27,Good day,KGS_RUB,1,1.12365
2025-01-27,Good day,KZT_RUB,1,0.188093
2025-01-27,Good day,TJS_RUB,1,8.9763
2025-01-27,Good day,UZS_RUB,1,0.00757089
2025-01-27,Кандидат,AMD_RUB,1,0.246293
2025-01-27,Кандидат,KGS_RUB,1,1.12365
2025-01-27,Кандидат,KZT_RUB,1,0.188093
2025-01-27,Кандидат,TJS_RUB,1,8.9763
2025-01-27,Кандидат,UZS_RUB,1,0.00757089
2025-01-28,Closing,AMD_RUB,0,0.24383
2025-01-28,Closing,KGS_RUB,0,1.11071
2025-01-28,Closing,KZT_RUB,0,0.187571
2025-01-28,Closing,TJS_RUB,0,8.87147
2025-01-28,Closing,UZS_RUB,0,0.00748952
2025-01-28,Fact,AMD_RUB,0,0.24383
2025-01-28,Fact,KGS_RUB,0,1.11071
2025-01-28,Fact,KZT_RUB,0,0.187571
2025-01-28,Fact,TJS_RUB,0,8.87147
2025-01-28,Fact,UZS_RUB,0,0.00748952
2025-01-28,Good day,AMD_RUB,0,0.24383
2025-01-28,Good day,KGS_RUB,0,1.11071
2025-01-28,Good day,KZT_RUB,0,0.187571
2025-01-28,Good day,TJS_RUB,0,8.87147
2025-01-28,Good day,UZS_RUB,0,0.00748952
2025-01-28,Кандидат,AMD_RUB,1,0.24383
2025-01-28,Кандидат,KGS_RUB,1,1.11071
2025-01-28,Кандидат,KZT_RUB,1,0.187571
2025-01-28,Кандидат,TJS_RUB,0,8.87147
2025-01-28,Кандидат,UZS_RUB,0,0.00748952
2025-01-29,Closing,AMD_RUB,0,0.245923
2025-01-29,Closing,KGS_RUB,0,1.12025
2025-01-29,Closing,KZT_RUB,0,0.189573
2025-01-29,Closing,TJS_RUB,0,8.94763
2025-01-29,Closing,UZS_RUB,0,0.00755718
2025-01-29,Fact,AMD_RUB,0,0.245923
2025-01-29,Fact,KGS_RUB,0,1.12025
2025-01-29,Fact,KZT_RUB,0,0.189573
2025-01-29,Fact,TJS_RUB,0,8.94763
2025-01-29,Fact,UZS_RUB,0,0.00755718
2025-01-29,Good day,AMD_RUB,0,0.245923
2025-01-29,Good day,KGS_RUB,0,1.12025
2025-01-29,Good day,KZT_RUB,0,0.189573
2025-01-29,Good day,TJS_RUB,0,8.94763
2025-01-29,Good day,UZS_RUB,0,0.00755718
2025-01-29,Кандидат,AMD_RUB,1,0.245923
2025-01-29,Кандидат,KGS_RUB,1,1.12025
2025-01-29,Кандидат,KZT_RUB,0,0.189573
2025-01-29,Кандидат,TJS_RUB,1,8.94763
2025-01-29,Кандидат,UZS_RUB,0,0.00755718
2025-01-30,Closing,AMD_RUB,0,0.246096
2025-01-30,Closing,KGS_RUB,0,1.12078
2025-01-30,Closing,KZT_RUB,0,0.189899
2025-01-30,Closing,TJS_RUB,0,8.97272
2025-01-30,Closing,UZS_RUB,0,0.00755397
2025-01-30,Fact,AMD_RUB,0,0.246096
2025-01-30,Fact,KGS_RUB,0,1.12078
2025-01-30,Fact,KZT_RUB,0,0.189899
2025-01-30,Fact,TJS_RUB,0,8.97272
2025-01-30,Fact,UZS_RUB,0,0.00755397
2025-01-30,Good day,AMD_RUB,0,0.246096
2025-01-30,Good day,KGS_RUB,0,1.12078
2025-01-30,Good day,KZT_RUB,0,0.189899
