corridor,date,good_day_candidate,window_closing_candidate,positive_market_fact_candidate,suppressed_by_priority,suppressed_by_cooldown_only,suppressed_by_weekly_cap,deferred_1d,final_push,final_push_type,final_push_reason
AMD_RUB,2026-04-28,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-29,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-04-30,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-01,True,False,False,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-08,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-11,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2026-05-12,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-13,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-14,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-15,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-18,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
AMD_RUB,2026-05-19,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-20,True,False,True,True,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-21,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-22,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-26,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-05-28,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-06-11,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-06-12,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-07-08,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-07-09,False,False,True,False,True,False,False,False,none,COOLDOWN
AMD_RUB,2026-07-10,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-19,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-01-20,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-21,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-22,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-23,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-27,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-28,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-01-29,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-01-30,True,False,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-02-06,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-12,False,True,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-17,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-02-18,True,False,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-19,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-25,True,False,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-02-26,True,False,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-03-26,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-03-27,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-03,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-06,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-04-07,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-08,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-09,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-10,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-14,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-15,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-16,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-17,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-21,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-04-22,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-23,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-24,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-04-29,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-01,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-08,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-11,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-12,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-05-13,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-14,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-15,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-18,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-05-19,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-20,True,False,True,True,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-21,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-22,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-26,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-05-28,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KGS_RUB,2026-06-01,True,False,False,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-06-11,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-06-12,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-06-16,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-07-08,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-07-09,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-07-10,False,False,True,False,True,False,False,False,none,COOLDOWN
KGS_RUB,2026-07-28,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-01-20,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-01-21,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-01-23,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-02-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KZT_RUB,2026-02-19,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-02-27,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-03-03,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-03-26,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-03-27,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-10,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-13,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KZT_RUB,2026-04-14,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-15,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-16,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-17,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-04-22,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-08,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-11,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-13,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-14,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-15,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KZT_RUB,2026-05-18,True,False,True,True,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-19,True,False,True,True,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-20,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KZT_RUB,2026-05-21,True,False,True,True,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-22,True,False,True,True,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-26,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-28,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-05-29,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-06-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
KZT_RUB,2026-06-03,False,True,True,True,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-06-11,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-06-12,False,False,True,False,True,False,False,False,none,COOLDOWN
KZT_RUB,2026-06-16,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-20,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-21,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-22,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-23,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-01-26,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-27,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-28,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-01-29,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-01-30,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-02-06,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-17,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-18,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-19,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-20,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-24,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-25,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-26,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-02-27,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-03-03,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-03-04,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-03-27,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-03-30,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-01,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-02,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-03,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-04-06,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-07,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-08,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-04-09,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-10,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-14,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-15,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-16,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-17,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-22,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-23,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-24,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-28,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-29,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-04-30,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-01,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-08,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-11,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-05-12,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-13,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-14,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-15,True,False,True,True,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-19,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-20,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-21,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-22,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-05-28,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
TJS_RUB,2026-06-01,True,False,False,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-06-11,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-06-12,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-07-08,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-07-09,False,False,True,False,True,False,False,False,none,COOLDOWN
TJS_RUB,2026-07-10,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-22,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-23,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-27,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-28,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-29,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-01-30,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-02-02,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
UZS_RUB,2026-02-06,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-02-24,True,False,False,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-02-25,True,False,False,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-02-26,True,False,False,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-03-26,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-03-27,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-03,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
UZS_RUB,2026-04-06,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-07,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-08,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
UZS_RUB,2026-04-09,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-10,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-14,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-15,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-16,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-17,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-22,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-23,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-28,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-04-29,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-08,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-11,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-12,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
UZS_RUB,2026-05-13,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-14,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-15,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-19,True,False,True,True,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-20,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-21,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-22,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-05-28,True,False,True,True,False,False,False,True,good_day,GOOD_DAY
UZS_RUB,2026-06-01,True,False,False,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-06-11,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-06-12,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-07-09,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-07-10,False,False,True,False,True,False,False,False,none,COOLDOWN
UZS_RUB,2026-07-14,False,False,True,False,True,False,False,False,none,COOLDOWN
