corridor,model_family,feature,is_temporal_enrichment,importance,rank
KGS_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,False,0.0038961491027767504,26
KGS_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,False,0.001304721805407424,27
KGS_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,False,4.21276419517664e-05,28
KGS_RUB,DIRECT_RIDGE,dist_sma_20,False,0.005806513452511967,1
KGS_RUB,DIRECT_RIDGE,vol_20,False,0.004268495118537297,2
KGS_RUB,DIRECT_RIDGE,favourability_percentile_90,False,0.003271795974172633,3
KGS_RUB,DIRECT_RIDGE,vol_5,False,0.002705017291195485,4
KGS_RUB,DIRECT_RIDGE,dist_min_20,False,0.002175452510073993,5
KGS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag2,True,0.002147445988977256,6
KGS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag3,True,0.0019483509898640136,7
KGS_RUB,DIRECT_RIDGE,vol_20_change_3,True,0.0015153000588719878,8
KGS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag1,True,0.0014865370685420553,9
KGS_RUB,DIRECT_RIDGE,near_min_reversal_010,False,0.0014717888375001115,10
KGS_RUB,DIRECT_RIDGE,vol_20_lag3,True,0.0012852459529561473,11
KGS_RUB,DIRECT_RIDGE,broad_rub_return_5,False,0.0012536116310309286,12
KGS_RUB,DIRECT_RIDGE,corridor_specific_return_1,False,0.001215885764586711,13
KGS_RUB,DIRECT_RIDGE,broad_rub_return_3,False,0.000983832893811093,14
KGS_RUB,DIRECT_RIDGE,ret_5,False,0.0009292627279022695,15
KGS_RUB,DIRECT_RIDGE,broad_rub_return_1,False,0.000879708952470721,16
KGS_RUB,DIRECT_RIDGE,vol_ratio_20_60,True,0.0007498331202950842,17
KGS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag2,True,0.0007076213316145911,18
KGS_RUB,DIRECT_RIDGE,return_sign_reversal_up,False,0.0006915618303070693,19
KGS_RUB,DIRECT_RIDGE,reversal_strength,False,0.0006330814050829267,20
KGS_RUB,DIRECT_RIDGE,ret_1_lag2,True,0.0006122185175588367,21
KGS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag3,True,0.0005705131641121234,22
KGS_RUB,DIRECT_RIDGE,ret_1_lag3,True,0.0005613665568707252,23
KGS_RUB,DIRECT_RIDGE,ret_1,False,0.0005606047536834087,24
KGS_RUB,DIRECT_RIDGE,momentum_spread,True,0.0005062855381257498,25
KGS_RUB,DIRECT_RIDGE,ret_3,False,0.0004965741668801707,26
KGS_RUB,DIRECT_RIDGE,ret_1_lag1,True,0.00048332376558573665,27
KGS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag1,True,0.00047691805385032215,28
KZT_RUB,DIRECT_RIDGE,ret_3,False,0.010906558641550613,1
KZT_RUB,DIRECT_RIDGE,broad_rub_return_3,False,0.006322563297398288,2
KZT_RUB,DIRECT_RIDGE,broad_rub_return_5,False,0.0053965492077702615,3
KZT_RUB,DIRECT_RIDGE,vol_20_lag3,True,0.0053802442354085826,4
KZT_RUB,DIRECT_RIDGE,ret_1_lag1,True,0.00510057107339143,5
KZT_RUB,DIRECT_RIDGE,dist_sma_20,False,0.005030612350307394,6
KZT_RUB,DIRECT_RIDGE,ret_1,False,0.00467514552389086,7
KZT_RUB,DIRECT_RIDGE,ret_1_lag2,True,0.004597031485475062,8
KZT_RUB,DIRECT_RIDGE,broad_rub_return_1_lag2,True,0.00449320096583537,9
KZT_RUB,DIRECT_RIDGE,broad_rub_return_1_lag1,True,0.004221858116703314,10
KZT_RUB,DIRECT_RIDGE,broad_rub_return_1,False,0.0040941405237061605,11
KZT_RUB,DIRECT_RIDGE,vol_20,False,0.003575997428214818,12
KZT_RUB,DIRECT_RIDGE,favourability_percentile_90,False,0.0033195736089125525,13
KZT_RUB,DIRECT_RIDGE,momentum_spread,True,0.0031297265750312906,14
KZT_RUB,DIRECT_RIDGE,dist_min_20,False,0.0028407107404210185,15
KZT_RUB,DIRECT_RIDGE,ret_5,False,0.002105226428081405,16
KZT_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag1,True,0.001861820949738613,17
KZT_RUB,DIRECT_RIDGE,vol_5,False,0.001722961207290136,18
