file,rule,description,horizon_days,x_bps,corridor,rows,good_days,good_share,good_episodes,median_regret_bps
future_median_benefit__h-01__x-100bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,100,KZT_RUB,270,32,0.11851851851851852,29,0.0
future_median_benefit__h-01__x-100bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,100,TJS_RUB,270,24,0.08888888888888889,19,0.0
future_median_benefit__h-01__x-100bps.parquet,future_median_benefit,Курс T лучше медианы следующих h дней минимум на X bps.,1,100,UZS_RUB,270,27,0.1,23,0.0
stable_80pct__h-01__x-025bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,25,AMD_RUB,270,193,0.7148148148148148,54,0.0
stable_80pct__h-01__x-025bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,25,KGS_RUB,270,193,0.7148148148148148,55,0.0
stable_80pct__h-01__x-025bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,25,KZT_RUB,270,195,0.7222222222222222,55,0.0
stable_80pct__h-01__x-025bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,25,TJS_RUB,270,198,0.7333333333333333,51,0.0
stable_80pct__h-01__x-025bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,25,UZS_RUB,270,196,0.725925925925926,46,0.0
stable_80pct__h-01__x-050bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,50,AMD_RUB,270,225,0.8333333333333334,39,0.0
stable_80pct__h-01__x-050bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,50,KGS_RUB,270,227,0.8407407407407408,37,0.0
stable_80pct__h-01__x-050bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,50,KZT_RUB,270,220,0.8148148148148148,40,0.0
stable_80pct__h-01__x-050bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,50,TJS_RUB,270,229,0.8481481481481481,39,0.0
stable_80pct__h-01__x-050bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,50,UZS_RUB,270,210,0.7777777777777778,44,0.0
stable_80pct__h-01__x-100bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,100,AMD_RUB,270,251,0.9296296296296296,18,0.0
stable_80pct__h-01__x-100bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,100,KGS_RUB,270,251,0.9296296296296296,18,0.0
stable_80pct__h-01__x-100bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,100,KZT_RUB,270,243,0.9,23,0.0
stable_80pct__h-01__x-100bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,100,TJS_RUB,270,253,0.937037037037037,17,0.0
stable_80pct__h-01__x-100bps.parquet,stable_80pct,Не менее 80% следующих h дней не лучше T более чем на X bps.,1,100,UZS_RUB,270,248,0.9185185185185185,21,0.0
no_early_better__h-01__x-025bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,25,AMD_RUB,270,193,0.7148148148148148,54,0.0
no_early_better__h-01__x-025bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,25,KGS_RUB,270,193,0.7148148148148148,55,0.0
no_early_better__h-01__x-025bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,25,KZT_RUB,270,195,0.7222222222222222,55,0.0
no_early_better__h-01__x-025bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,25,TJS_RUB,270,198,0.7333333333333333,51,0.0
no_early_better__h-01__x-025bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,25,UZS_RUB,270,196,0.725925925925926,46,0.0
no_early_better__h-01__x-050bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,50,AMD_RUB,270,225,0.8333333333333334,39,0.0
no_early_better__h-01__x-050bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,50,KGS_RUB,270,227,0.8407407407407408,37,0.0
no_early_better__h-01__x-050bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,50,KZT_RUB,270,220,0.8148148148148148,40,0.0
no_early_better__h-01__x-050bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,50,TJS_RUB,270,229,0.8481481481481481,39,0.0
no_early_better__h-01__x-050bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,50,UZS_RUB,270,210,0.7777777777777778,44,0.0
no_early_better__h-01__x-100bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,100,AMD_RUB,270,251,0.9296296296296296,18,0.0
no_early_better__h-01__x-100bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,100,KGS_RUB,270,251,0.9296296296296296,18,0.0
no_early_better__h-01__x-100bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,100,KZT_RUB,270,243,0.9,23,0.0
no_early_better__h-01__x-100bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,100,TJS_RUB,270,253,0.937037037037037,17,0.0
no_early_better__h-01__x-100bps.parquet,no_early_better,В первой половине горизонта нет более выгодного курса сверх X bps.,1,100,UZS_RUB,270,248,0.9185185185185185,21,0.0
low_p10_30_and_regret__h-01__x-025bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,25,AMD_RUB,270,33,0.12222222222222222,20,0.0
